run_wf01_cb01_capex.cbl.log:STAT,15,21948253,19051512,13.20%,0,10,1,5
run_wf01_cb01.cbl.log:STAT,15,2033065482,21273537,98.95%,0,10,1,5
run_wf01_cb02_capex.cbl.log:STAT,15,25074528,22458364,10.43%,0,10,1,5
run_wf01_cb02.cbl.log:STAT,15,5042867394,24139142,99.52%,0,10,1,5
run_wf01_cb05_capex.cbl.log:STAT,15,28679638,22016889,23.23%,0,10,1,5
run_wf01_cb05.cbl.log:STAT,15,2035874559,24281819,98.81%,0,10,1,5
run_wf02_cb01_capex.cbl.log:STAT,15,8555171,8525142,0.35%,0,10,1,5
run_wf02_cb01.cbl.log:STAT,15,8809665,8790007,0.22%,0,10,1,5
run_wf02_cb02_capex.cbl.log:STAT,15,10056670,10040405,0.16%,0,10,1,5
run_wf02_cb02.cbl.log:STAT,15,10303320,10276264,0.26%,0,10,1,5
run_wf02_cb03.cbl.log:STAT,5,9250998,9250998,0.00%,0,10,1,5
run_wf02_cb04_capex.cbl.log:STAT,3,8604209,8603851,0.00%,0,10,1,5
run_wf02_cb04.cbl.log:STAT,15,8933494,8914623,0.21%,0,10,1,5
run_wf02_cb05_capex.cbl.log:STAT,15,10173932,10099165,0.73%,0,10,1,5
run_wf02_cb05.cbl.log:STAT,15,10348431,10282911,0.63%,0,10,1,5
run_wf03_cb03_capex.cbl.log:STAT,15,8072486,7734479,4.19%,0,10,1,5
run_wf03_cb03.cbl.log:STAT,15,8622605,8271158,4.08%,0,10,1,5
run_wf03_cb04_capex.cbl.log:STAT,15,8357196,7912396,5.32%,0,10,1,5
run_wf03_cb04.cbl.log:STAT,15,9267044,8877628,4.20%,0,10,1,5
run_wf04_cb01_capex.cbl.log:STAT,15,5056068265,36198043,99.28%,0,10,1,5
run_wf04_cb01.cbl.log:STAT,15,4057359601,42272643,98.96%,0,10,1,5
run_wf04_cb03_capex.cbl.log:STAT,15,3091,3007,2.72%,0,10,1,5
run_wf04_cb03.cbl.log:STAT,15,44421091,39340145,11.44%,0,10,1,5
run_wf04_cb04_capex.cbl.log:STAT,15,5566,5314,4.54%,0,10,1,5
run_wf04_cb04.cbl.log:STAT,15,47868569,42489766,11.24%,0,10,1,5
run_wf04_cb05_capex.cbl.log:STAT,15,1062033162,45484620,95.72%,0,10,1,5
run_wf04_cb05.cbl.log:STAT,15,1054318485,48910209,95.36%,0,10,1,5
run_wf05_cb04_capex.cbl.log:STAT,15,22827541,21168192,7.27%,0,10,1,5
run_wf05_cb04.cbl.log:STAT,15,26030208,22218564,14.64%,0,10,1,5
run_wf05_cb05_capex.cbl.log:STAT,15,2038036388,25265191,98.76%,0,10,1,5
run_wf05_cb05.cbl.log:STAT,15,3029632737,25843762,99.15%,0,10,1,5
