# Plotting data
# Cable used (index 0)
# X Y
423974.000000 6151448.000000 1
424671.000000 6150335.000000 11

424247.000000 6149224.000000 5
424179.000000 6149780.000000 4

424384.000000 6148112.000000 7
424315.000000 6148668.000000 6

424452.000000 6147556.000000 8
425012.000000 6147556.000000 16

425231.000000 6150335.000000 19
425162.000000 6150891.000000 18

425504.000000 6148112.000000 23
425435.000000 6148667.000000 22

425572.000000 6147557.000000 24
426132.000000 6147556.000000 32

426064.000000 6148113.000000 31
425995.000000 6148668.000000 30

426487.000000 6149224.000000 37
426555.000000 6148668.000000 38

427047.000000 6149224.000000 45
426979.000000 6149780.000000 44

427184.000000 6148112.000000 47
427744.000000 6148112.000000 55

427252.000000 6147556.000000 48
427812.000000 6147556.000000 56

428304.000000 6148112.000000 63
428235.000000 6148668.000000 62

428372.000000 6147556.000000 64
428932.000000 6147555.000000 72

428795.000000 6148669.000000 70
429355.000000 6148668.000000 78

428864.000000 6148112.000000 71
429424.000000 6148112.000000 79

# Cable used (index 1)
# X Y
424179.000000 6149780.000000 4
424111.000000 6150335.000000 3

425012.000000 6147556.000000 16
424944.000000 6148112.000000 15

425162.000000 6150891.000000 18
425094.000000 6151447.000000 17

425995.000000 6148668.000000 30
425927.000000 6149224.000000 29

426132.000000 6147556.000000 32
426692.000000 6147555.000000 40

427812.000000 6147556.000000 56
427744.000000 6148112.000000 55

428932.000000 6147555.000000 72
429492.000000 6147556.000000 80

# Cable used (index 2)
# X Y
424111.000000 6150335.000000 3
424042.000000 6150891.000000 2

424807.000000 6149224.000000 13
424739.000000 6149780.000000 12

424944.000000 6148112.000000 15
424875.000000 6148668.000000 14

425927.000000 6149224.000000 29
425299.000000 6149780.000000 20

426692.000000 6147555.000000 40
426624.000000 6148112.000000 39

429492.000000 6147556.000000 80
429424.000000 6148112.000000 79

# Cable used (index 3)
# X Y
424042.000000 6150891.000000 2
424602.000000 6150891.000000 10

424315.000000 6148668.000000 6
424807.000000 6149224.000000 13

424739.000000 6149780.000000 12
424671.000000 6150335.000000 11

424875.000000 6148668.000000 14
425435.000000 6148667.000000 22

425299.000000 6149780.000000 20
425791.000000 6150334.000000 27

426624.000000 6148112.000000 39
426555.000000 6148668.000000 38

427744.000000 6148112.000000 55
427675.000000 6148668.000000 54

# Cable used (index 4)
# X Y
424602.000000 6150891.000000 10
424534.000000 6151447.000000 9

425791.000000 6150334.000000 27
426351.000000 6150335.000000 35

427675.000000 6148668.000000 54
428235.000000 6148668.000000 62

429424.000000 6148112.000000 79
429355.000000 6148668.000000 78

# Cable used (index 5)
# X Y
424534.000000 6151447.000000 9
425094.000000 6151447.000000 17

424671.000000 6150335.000000 11
425722.000000 6150891.000000 26

425435.000000 6148667.000000 22
425367.000000 6149224.000000 21

426351.000000 6150335.000000 35
426911.000000 6150335.000000 43

426555.000000 6148668.000000 38
427115.000000 6148668.000000 46

# Cable used (index 6)
# X Y
425367.000000 6149224.000000 21
425859.000000 6149780.000000 28

425722.000000 6150891.000000 26
426282.000000 6150891.000000 34

426911.000000 6150335.000000 43
427894.000000 6151447.000000 57

427115.000000 6148668.000000 46
427607.000000 6149224.000000 53

428235.000000 6148668.000000 62
428099.000000 6149780.000000 60

429355.000000 6148668.000000 78
429287.000000 6149224.000000 77

# Cable used (index 7)
# X Y
425859.000000 6149780.000000 28
426419.000000 6149780.000000 36

426282.000000 6150891.000000 34
426842.000000 6150891.000000 42

427607.000000 6149224.000000 53
428167.000000 6149224.000000 61

427894.000000 6151447.000000 57
428636.000000 6152126.000000 0

428099.000000 6149780.000000 60
427471.000000 6150335.000000 51

429287.000000 6149224.000000 77
429219.000000 6149780.000000 76

# Cable used (index 8)
# X Y
425094.000000 6151447.000000 17
425654.000000 6151447.000000 25

426419.000000 6149780.000000 36
426979.000000 6149780.000000 44

426842.000000 6150891.000000 42
427402.000000 6150891.000000 50

427471.000000 6150335.000000 51
427962.000000 6150890.000000 58

428167.000000 6149224.000000 61
428727.000000 6149224.000000 69

429219.000000 6149780.000000 76
429151.000000 6150335.000000 75

# Cable used (index 9)
# X Y
425654.000000 6151447.000000 25
426214.000000 6151447.000000 33

427402.000000 6150891.000000 50
428454.000000 6151447.000000 65

427962.000000 6150890.000000 58
428636.000000 6152126.000000 0

428727.000000 6149224.000000 69
428659.000000 6149781.000000 68

429151.000000 6150335.000000 75
429082.000000 6150891.000000 74

# Cable used (index 10)
# X Y
426214.000000 6151447.000000 33
426774.000000 6151447.000000 41

426979.000000 6149780.000000 44
427539.000000 6149780.000000 52

428454.000000 6151447.000000 65
428636.000000 6152126.000000 0

428659.000000 6149781.000000 68
428591.000000 6150335.000000 67

429082.000000 6150891.000000 74
429014.000000 6151447.000000 73

# Cable used (index 11)
# X Y
426774.000000 6151447.000000 41
427334.000000 6151447.000000 49

427539.000000 6149780.000000 52
428031.000000 6150335.000000 59

428591.000000 6150335.000000 67
428522.000000 6150891.000000 66

429014.000000 6151447.000000 73
428636.000000 6152126.000000 0

# Cable used (index 12)
# X Y
427334.000000 6151447.000000 49
428636.000000 6152126.000000 0

428031.000000 6150335.000000 59
428636.000000 6152126.000000 0

428522.000000 6150891.000000 66
428636.000000 6152126.000000 0

