run_wf01_cb01_capex.cbl.log:STAT,15,21332147,19116205,10.39%,0,10,1,-1
run_wf01_cb01.cbl.log:STAT,15,7040046074,21320678,99.70%,0,10,1,-1
run_wf01_cb02_capex.cbl.log:STAT,15,24879746,22485476,9.62%,0,10,1,-1
run_wf01_cb02.cbl.log:STAT,15,7044912405,24147517,99.66%,0,10,1,-1
run_wf01_cb05_capex.cbl.log:STAT,15,9059705211,23035525,99.75%,0,10,1,-1
run_wf01_cb05.cbl.log:STAT,15,6043172097,24281741,99.60%,0,10,1,-1
run_wf02_cb01_capex.cbl.log:STAT,15,8555171,8531838,0.27%,0,10,1,-1
run_wf02_cb01.cbl.log:STAT,15,8809665,8790786,0.21%,0,10,1,-1
run_wf02_cb02_capex.cbl.log:STAT,15,10056670,10055755,0.01%,0,10,1,-1
run_wf02_cb02.cbl.log:STAT,15,10307249,10276259,0.30%,0,10,1,-1
run_wf02_cb03.cbl.log:STAT,15,9200185,9184072,0.18%,0,10,1,-1
run_wf02_cb04_capex.cbl.log:STAT,4,8604209,8603851,0.00%,0,10,1,-1
run_wf02_cb04.cbl.log:STAT,15,8933494,8921431,0.14%,0,10,1,-1
run_wf02_cb05_capex.cbl.log:STAT,15,10173932,10146565,0.27%,0,10,1,-1
run_wf02_cb05.cbl.log:STAT,15,10348431,10284129,0.62%,0,10,1,-1
run_wf03_cb03_capex.cbl.log:STAT,15,8072486,7728206,4.26%,0,10,1,-1
run_wf03_cb03.cbl.log:STAT,15,8560009,8336801,2.61%,0,10,1,-1
run_wf03_cb04_capex.cbl.log:STAT,15,8357196,7940799,4.98%,0,10,1,-1
run_wf03_cb04.cbl.log:STAT,15,9267044,8976953,3.13%,0,10,1,-1
run_wf04_cb01_capex.cbl.log:STAT,15,1135440459,36500494,96.79%,0,10,1,-1
run_wf04_cb01.cbl.log:STAT,15,7064523429,42425513,99.40%,0,10,1,-1
run_wf04_cb03_capex.cbl.log:STAT,15,3076,3048,0.90%,0,10,1,-1
run_wf04_cb03.cbl.log:STAT,15,54533970,39560331,27.46%,0,10,1,-1
run_wf04_cb04_capex.cbl.log:STAT,15,5568,5359,3.75%,0,10,1,-1
run_wf04_cb04.cbl.log:STAT,15,57813205,42637790,26.25%,0,10,1,-1
run_wf04_cb05_capex.cbl.log:STAT,15,1067371860,45841674,95.71%,0,10,1,-1
run_wf04_cb05.cbl.log:STAT,15,6069016431,49234826,99.19%,0,10,1,-1
run_wf05_cb04_capex.cbl.log:STAT,15,24009501,21262811,11.44%,0,10,1,-1
run_wf05_cb04.cbl.log:STAT,15,25900316,22347693,13.72%,0,10,1,-1
run_wf05_cb05_capex.cbl.log:STAT,15,3036677739,25494288,99.16%,0,10,1,-1
run_wf05_cb05.cbl.log:STAT,15,8035743683,25901764,99.68%,0,10,1,-1
